"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"dosa00195","Photosynthesis","15/125","42/3743",0.357142857142857,10.6942857142857,11.7423098132102,1.42043808279762e-12,1.10794170458214e-10,9.65143045190275e-11,"Os07g0148900/Os02g0578400/Os06g0101600/Os07g0544800/Os07g0105600/Os09g0481200/Os04g0414700/Os03g0778100/Os04g0412200/Os03g0333400/Os07g0435300/Os05g0560000/Os08g0560900/Os12g0420400/Os12g0189400",15
"dosa00196","Photosynthesis - antenna proteins","7/125","14/3743",0.5,14.972,9.73417209223714,1.10767890153471e-07,4.31994771598538e-06,3.76316504417655e-06,"Os09g0439500/Os07g0562700/Os02g0197600/Os04g0457000/Os07g0577600/Os06g0320500/Os08g0435900",7
"dosa00710","Carbon fixation by Calvin cycle","8/125","64/3743",0.125,3.743,4.11361381202744,0.00113687372766852,0.0295587169193815,0.0257489991950872,"Os06g0608700/Os03g0781400/Os06g0664200/Os01g0208700/Os12g0274700/Os01g0866400/Os04g0459500/Os04g0306400",8
"dosa00999","Biosynthesis of various plant secondary metabolites","6/125","40/3743",0.15,4.4916,4.1261996822746,0.00185857558637706,0.0362422239343527,0.0315710928001047,"Os05g0365600/Os01g0508000/Os01g0930800/Os06g0683300/Os01g0375500/Os01g0293000",6
