"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"dosa00400","Phenylalanine, tyrosine and tryptophan biosynthesis","12/166","38/3743",0.315789473684211,7.12048192771084,8.16826422178509,3.86767779600009e-08,2.91055029043979e-06,8.36192781824666e-07,"Os09g0255400/Os04g0406600/Os01g0871300/Os03g0254800/Os07g0622200/Os06g0225800/Os03g0126000/Os01g0375200/Os01g0764400/Os06g0133900/Os07g0182100/Os03g0718000",12
"dosa00940","Phenylpropanoid biosynthesis","17/166","83/3743",0.204819277108434,4.61830454347511,7.18042394537634,7.01337419383081e-08,2.91055029043979e-06,8.36192781824666e-07,"Os09g0399800/Os08g0448000/Os10g0109600/Os05g0494000/Os05g0320700/Os06g0547400/Os03g0235000/Os05g0162000/Os02g0626400/Os05g0499400/Os04g0688300/Os11g0112200/Os04g0688100/Os08g0113000/Os02g0627100/Os02g0467600/Os09g0400400",17
"dosa00941","Flavonoid biosynthesis","7/166","18/3743",0.388888888888889,8.76874163319946,7.11656233564094,6.26330406519261e-06,0.000167448230413027,4.81073981303824e-05,"Os11g0530600/Os05g0494000/Os05g0320700/Os04g0630800/Os12g0240900/Os02g0467600/Os04g0630600",7
"dosa01230","Biosynthesis of amino acids","22/166","178/3743",0.123595505617978,2.78685528631379,5.2615788232762,8.06979423677241e-06,0.000167448230413027,4.81073981303824e-05,"Os03g0231600/Os03g0136900/Os09g0255400/Os04g0406600/Os04g0516600/Os02g0194100/Os01g0871300/Os03g0254800/Os04g0266900/Os07g0622200/Os06g0225800/Os01g0118000/Os03g0126000/Os05g0135700/Os02g0657600/Os01g0375200/Os01g0660300/Os01g0764400/Os12g0623900/Os06g0133900/Os07g0182100/Os03g0718000",22
"dosa00592","alpha-Linolenic acid metabolism","9/166","36/3743",0.25,5.63704819277109,6.02182364233253,1.79002921657109e-05,0.000297144849950801,8.53688663279166e-05,"Os08g0508800/Os06g0354500/Os11g0210500/Os02g0218700/Os03g0225900/Os12g0448900/Os09g0502500/Os10g0457600/Os08g0509100",9
"dosa00999","Biosynthesis of various plant secondary metabolites","8/166","40/3743",0.2,4.50963855421687,4.80686579919606,0.00028819270512031,0.00398666575416429,0.00114535767965585,"Os11g0441500/Os05g0366600/Os10g0113000/Os04g0167800/Os05g0135700/Os01g0375200/Os04g0513400/Os04g0474900",8
"dosa00945","Stilbenoid, diarylheptanoid and gingerol biosynthesis","4/166","10/3743",0.4,9.01927710843374,5.46956378643685,0.00063538867122139,0.00753389424448219,0.00216446628905852,"Os07g0526400/Os05g0494000/Os05g0320700/Os02g0467600",4
