"","CK_1","CK_2","CK_3","Cd_1","Cd_2","Cd_3"
"ENSRNA049471555",95.9671008222804,92.395475816868,75.709615447688,92.2466594191021,42.9791564489321,73.8508254478236
"ENSRNA049471602",13.5711051667871,7.6202454281953,10.9724080358968,7.85077952502997,15.628784163248,13.7854874169271
"ENSRNA049471381",27.1422103335742,27.623389677208,35.1117057148698,23.5523385750899,34.1879653571051,35.4483962149553
"Os01g0873800",795.848381566588,593.426612720709,738.443060815855,854.753620787637,963.12382406016,1024.06477954315
"Os01g0734100",264.636550752349,246.705445737823,275.40744170101,215.896436938324,240.292556509939,251.0928065226
"Os01g0563000",3381.14391583953,5214.15293424264,4718.13545543563,3549.53369275417,3625.87792587354,3330.17988886052
"Os01g0973300",1513.17822609676,1376.40683046778,1237.68762644916,1249.25529192039,1301.0962815904,1343.10034547775
"Os01g0889800",1735.16273203921,1492.61557324775,1836.78110520913,2399.39449233728,2554.32941168085,2657.64503844901
"Os01g0878400",26.1728456788037,32.38604306983,9.87516723230713,16.6829064906887,50.7935485305561,46.2798506139694
"Os01g0544450",19.3872930954102,13.3354294993418,39.5006689292285,13.7388641688024,7.81439208162402,5.90806603582589
"Os01g0810300",2269.28265681776,2163.19717092894,2230.69055369782,2370.93541655905,2751.64281174186,2984.55802576471
"Os01g0923000",1471.49554594163,1504.04594139005,1427.51028547017,993.123609916291,1372.40260933522,1568.59153251177
"Os01g0647700",672.739070410733,648.673392075125,721.98444876201,600.584633664792,651.524939805402,433.258175960565
"Os01g0816400",4693.6636583988,3707.24940081701,4151.95920078335,3647.66843681705,3632.71551894496,3487.72831648255
"Os01g0688200",132.80295770356,137.164417707515,125.085451609224,70.6570157252697,112.331886173345,103.391155626953
"Os01g0646700",1726.43845014628,1738.36848830705,1733.6404696717,1534.82739714336,1807.07816887555,1826.57708274284
"Os01g0633900",46.5295034289844,53.3417179973671,34.0144649112801,66.7316259627547,59.5847396223831,99.4524449364024
"Os01g0852100",316.012877455186,290.521856949946,354.408779559467,204.120267650779,276.43411988745,273.740392993266
"Os01g0604000",10.6630112024756,18.0980828919638,18.6530936610246,9.81347440628746,8.79119109182702,12.8008097442894
"Os01g0510500",1218.49137104653,1083.97991216078,1107.11597082199,1208.03869941399,1104.7596805396,1133.36400120593
"Os01g0116900",1758.4274837537,1732.65330423591,1428.60752627376,2014.70629561081,2273.98809575259,2521.75951962502
"Os01g0934900",13.5711051667871,20.9556749275371,15.3613712502555,12.7575167281737,9.76799010203002,15.7548427622024
"Os01g0661000",126.986769774937,115.256212101454,149.224749288197,149.164810975569,103.540695081518,119.145998389155
"Os01g0362533",48.4682327385254,87.632822424246,54.862040179484,98.1347440628746,56.6543425917741,76.8048584657365
"Os01g0229600",78.5185370364112,35.2436351054033,42.7923913399975,86.3585747753296,121.123077265172,361.376705858017
"Os01g0833700",175.455002513462,183.838420955212,149.224749288197,139.351336569282,159.218238663089,166.410526675762
"Os01g0329800",643.658130767618,489.600768761548,494.855602418946,487.729677992487,294.993301081307,353.499284476915
"Os01g0205100",735.747772970816,909.666797990814,869.014716443027,759.562919046649,582.172210080989,678.442916447339
"Os01g0275900",1083.74968403343,1695.50460777345,1092.85184037532,1052.00445635402,1085.22370033554,1197.36804992738
"Os01g0127450",64.9474318696241,53.3417179973671,72.4178930369189,96.1720491816171,71.3063277448192,90.5903458826636
"Os01g0570700",3216.35192452855,3832.98345038224,3724.03528738338,3085.35635333678,3100.36005838433,2677.33859190176
"Os01g0226600",111.476935298609,119.066334815552,81.1958194656364,114.817650553563,113.308685183548,54.1572719950706
"Os01g0881966",482.743598075713,481.027992654828,447.67424786459,506.375279364433,570.450621958553,446.058985704854
"Os01g0164800",44.5907741194434,40.0062884980253,23.0420568753833,32.3844655407486,13.675186142842,12.8008097442894
"Os01g0837600",7476.70958224493,5636.12402482895,7080.49490556421,9590.70853726473,12677.8743534248,7476.65756833766
"Os01g0221700",1291.19372015432,1038.25843959161,1437.38545270248,1592.72689614045,1850.05732532449,1845.28595852295
"Os01g0290700",121.170581846314,94.3005371739169,108.626839555378,53.974109234581,73.2599257652252,48.2492059592447
"Os01g0200400",217.137682668594,225.749770810286,182.141973395887,123.649777519222,144.566253510044,217.61376565292
"Os01g0976600",855.948990162359,839.179527780008,729.665134387138,763.488308809164,523.564269468809,576.036438493024
"Os01g0764300",304.38050159794,345.768636304362,337.950167505622,249.262249919701,218.802978285472,285.556525064918
"Os01g0228300",1297.97927273771,1519.28643224644,1264.02140573531,1170.74749667009,1063.73412211107,824.175211997711
"Os01g0727200",64.9474318696241,69.5347395322821,43.8896321435872,52.9927617939523,25.3967742652781,27.5709748338541
"Os01g0818400",335.400170550596,332.43320680502,298.449498576393,296.366927069881,340.902854560848,282.602492047005
"Os01g0351300",2063.77735000641,2117.47569835977,2176.92575432193,2004.89282120453,2220.26415019142,2134.78119427842
"Os01g0337160",56.2231499766895,107.635966673259,103.14063553743,175.661191872545,254.944541662984,216.629087980282
"Os01g0620400",9.69364654770509,1.90506135704883,7.68068562512777,6.86943208440122,21.489578224466,15.7548427622024
"Os01g0299300",34.8971275717383,80.9651076745751,85.5847826799951,67.7129734033835,60.5615386325861,69.912114757273
"Os01g0700100",555.445947183502,401.015415658778,385.131522059978,536.797050023924,345.786849611863,233.368608415122
"Os01g0566100",4904.98515313877,4181.60967872217,5338.0765094638,4007.8229475278,6748.70436149254,6070.5378518111
"Os01g0742766",23.2647517144922,31.4335123913056,14.2641304466658,11.7761692875449,12.698387132639,15.7548427622024
"Os01g0766966",48.4682327385254,51.4366566403183,51.570317768715,57.899498997096,115.262283203954,105.360510972228
"Os01g0938200",219.076411978135,162.882746027675,232.615050361012,204.120267650779,255.921340673187,287.525880410193
"Os01g0868900",11.6323758572461,20.9556749275371,10.9724080358968,10.7948218469162,9.76799010203002,0
"Os01g0911200",4774.12092474476,4866.47923658122,4124.52818069361,3700.661198611,3529.17482386345,3341.01134325954
"Os01g0898800",667.892247136881,755.356828069859,671.511371796885,691.849945643266,1183.88040036604,1377.56406402007
"Os01g0898600",9.69364654770509,24.7657976416347,15.3613712502555,21.5896436938324,27.3503722856841,11.8161320716518
"Os01g0926400",36.8358568812793,21.9082056060615,30.7227425005111,16.6829064906887,12.698387132639,8.86209905373883
"Os01g0929000",97.9058301318214,107.635966673259,94.3627091087125,80.4704901315571,73.2599257652252,94.5290565732142
"Os01g0840700",397.439508455909,380.059740731241,384.034281256388,374.874722320181,363.369231795517,345.621863095814
"Os01g0839500",1606.23723295473,1585.96357974315,1506.51162332863,1990.1726095951,2426.36874134426,2235.21831688746
"Os01g0373800",176.424367168233,193.363727740456,136.05785964512,56.9181515564673,33.2111663469021,49.2338836318824
"Os01g0176000",63.0087025600831,78.1075156390018,55.9592809830737,55.9368041158385,26.3735732754811,60.0653380308965
"Os01g0834200",3355.9404348155,3220.50622409104,3055.81563799726,2635.89922552881,2189.98338087513,2418.36836399806
"Os01g0868200",287.901302466841,347.673697661411,300.643980183573,274.777283376049,262.758933744608,287.525880410193
"Os01g0182100",193.872930954102,291.47438762847,228.226087146654,333.658129813774,439.559554591351,249.123451177325
"Os01g0904200",1663.42974758619,1441.17891660744,1656.83361342042,1640.81292073126,1610.74156782475,1671.98268813873
"Os01g0825500",107.599476679526,78.1075156390018,109.724080358968,156.034243059971,119.169479244766,163.456493657849
"Os01g0833500",41.6826801551319,29.5284510342568,39.5006689292285,32.3844655407486,16.605583173451,11.8161320716518
"Os01g0190400",44.5907741194434,35.2436351054033,8.77792642871745,51.0300669126948,31.2575683264961,21.6629087980282
"Os01g0901900",2903.24714103767,2321.31726356399,2650.93378147267,3102.03925982747,3461.77569215944,3251.40567504951
"Os01g0641050",11.6323758572461,7.6202454281953,6.58344482153808,6.86943208440122,12.698387132639,14.7701650895647
"Os01g0134700",2837.33034451328,5017.93161446661,3526.53194273723,3180.54705507776,2502.55906414009,1636.53429192377
"Os01g0784000",182.240555096856,169.550460777345,215.059197503577,178.605234194432,147.496650540653,192.996823836979
"Os01g0275600",7052.12786345545,6338.13913490144,7121.09281529703,7428.8001255596,7608.28749047118,7777.96893616478
"Os01g0829400",42.6520448099024,57.1518407114648,83.3903010728157,141.314031450539,128.937469346796,138.839551841908
