"","CK_1","CK_2","CK_3","Cd_1","Cd_2","Cd_3"
"CK_1",1,0.986677878680607,0.986282052090481,0.979553860022638,0.951619186108607,0.943798873475983
"CK_2",0.986677878680607,1,0.9858195626009,0.974348689570724,0.942834463852946,0.929312116436234
"CK_3",0.986282052090481,0.9858195626009,1,0.985815553615152,0.967373480732993,0.955154106574986
"Cd_1",0.979553860022638,0.974348689570724,0.985815553615152,1,0.981380151696733,0.974697258625584
"Cd_2",0.951619186108607,0.942834463852946,0.967373480732993,0.981380151696733,1,0.98903875805715
"Cd_3",0.943798873475983,0.929312116436234,0.955154106574986,0.974697258625584,0.98903875805715,1
