"","CK_1","CK_2","CK_3","Cd_1","Cd_2","Cd_3"
"Os01g0314100",2871,2087,1924,1583,1380,1719
"Os01g0147900",20,23,12,17,25,28
"Os01g0705700",4,21,18,11,7,4
"Os01g0182600",17161,15777,16150,14135,18551,17699
"Os01g0813400",5788,6706,5123,5413,5456,5193
"Os01g0623200",458,270,328,420,243,341
"Os01g0830300",141,195,174,151,193,196
"Os01g0655400",4260,3999,4020,3826,4453,4576
"Os01g0649200",1223,1564,1074,953,690,540
"Os01g0156300",13,12,8,14,16,16
"Os01g0858900",833,769,734,1039,1227,1559
"Os01g0678100",174,170,149,355,578,933
"Os01g0919400",5833,6614,6011,8207,10651,9196
"Os01g0627933",4814,5638,4869,5220,6426,5008
"Os01g0546900",523,526,434,422,353,391
"Os01g0902200",779,585,738,977,1088,1069
"Os01g0773200",1792,1627,1414,1572,1490,1475
"Os01g0978400",163,207,250,356,457,535
"Os01g0223200",435,382,416,539,389,344
"Os01g0235100",721,694,546,904,709,798
"Os01g0649900",19,12,7,15,2,45
"Os01g0618900",262,177,206,451,501,470
"Os01g0195000",742,1012,742,1040,911,781
"Os01g0749200",3647,2773,2859,4686,5079,5318
"Os01g0846400",55,18,28,56,65,160
"Os01g0859500",183,135,194,249,329,184
"Os01g0528000",106,107,99,132,137,122
"Os01g0301000",606,521,467,474,521,455
"Os01g0706100",86,50,71,92,48,85
"Os01g0925400",417,530,393,433,353,467
"Os01g0612500",20,18,19,35,13,34
"Os01g0289600",2877,4556,2738,1975,1664,1303
"Os01g0788900",62,91,73,66,85,91
"Os01g0676200",798,822,982,1145,1827,1914
"Os01g0645200",7180,7150,5772,7716,6565,5524
"Os01g0853800",604,1043,835,840,950,925
"Os01g0654300",395,373,305,357,362,400
"Os01g0144700",255,192,192,190,296,286
"Os01g0180300",4580,3576,4676,5109,6671,7585
"Os01g0132766",262,306,286,435,486,447
"Os01g0617500",5319,4048,3925,4241,4069,3857
"Os01g0507500",1989,2390,2048,2046,2341,2262
"Os01g0882500",1660,2510,3427,4891,8395,7686
"Os01g0147200",3303,3182,2850,2711,3311,2955
"Os01g0839300",557,575,493,470,342,344
"Os01g0221100",849,854,913,994,2311,1784
"Os01g0286900",63,52,67,81,111,70
"Os01g0148700",800,1045,733,993,1082,895
"Os01g0229100",1755,1803,1517,1751,1513,1609
"Os01g0287400",28,27,29,24,40,31
"Os01g0176050",8,12,14,6,17,6
"Os01g0363300",204,169,240,490,805,999
"Os01g0158100",177,172,165,183,258,365
"Os01g0971700",2596,3009,2788,2809,3232,3133
"Os01g0199400",235,169,189,193,181,145
"Os01g0646400",71,100,68,65,60,91
"Os01g0276600",91,113,126,101,128,132
"Os01g0118066",447,305,296,360,309,397
"Os01g0744000",41,46,39,40,63,54
"Os01g0864500",2088,3198,2085,1897,1021,818
"Os01g0610700",766,877,673,759,699,646
"Os01g0627800",532,594,128,330,0,312
"Os01g0572700",330,467,394,383,520,472
"Os01g0888300",222,210,317,250,354,381
"Os01g0355600",3140,3086,2275,2464,2133,1911
"Os01g0690600",924,1034,597,546,303,274
"Os01g0151600",1279,893,801,766,954,904
"Os01g0896800",3592,3842,2572,3239,2724,2749
"Os01g0915300",1165,884,931,1193,1322,1272
"Os01g0777200",2300,1237,1850,2053,2576,2020
"Os01g0771350",341,332,293,285,259,260
"Os01g0804200",1227,1994,1208,1289,995,684
