"","CK_1","CK_2","CK_3","Cd_1","Cd_2","Cd_3"
"CK_1",0,44.1635618529332,44.5158640342602,53.9040590239649,84.1737624531751,89.7995204956212
"CK_2",44.1635618529332,0,45.5844773835117,61.0756147799905,92.026405438481,101.553870828772
"CK_3",44.5158640342602,45.5844773835117,0,45.1506500579883,69.3806090532024,80.5975067459147
"Cd_1",53.9040590239649,61.0756147799905,45.1506500579883,0,52.482388679838,60.2098097282258
"Cd_2",84.1737624531751,92.026405438481,69.3806090532024,52.482388679838,0,40.3456031208052
"Cd_3",89.7995204956212,101.553870828772,80.5975067459147,60.2098097282258,40.3456031208052,0
